product_id,product_name,price,stock_quantity,description,created_at
1,iPhone 13,999.99,50,Apple smartphone with 128GB storage,2025-01-04 17:14:38
2,Laptop,799.99,30,Dell laptop with 16GB RAM and 512GB SSD,2025-01-04 17:14:38
3,T-shirt,19.99,100,Cotton T-shirt in various sizes,2025-01-04 17:14:38
4,Harry Potter Book,12.99,200,The famous fantasy novel by J.K. Rowling,2025-01-04 17:14:38
5,Wireless Mouse,29.99,150,Ergonomic wireless mouse with USB receiver,2025-01-04 17:14:38
6,Gaming Headset,59.99,80,Over-ear gaming headset with noise cancellation,2025-01-04 17:14:38
7,Smartwatch,149.99,40,Fitness tracker with heart-rate monitor and GPS,2025-01-04 17:14:38
8,Bluetooth Speaker,45.99,120,Portable Bluetooth speaker with 360-degree sound,2025-01-04 17:14:38
9,Nike Sneakers,89.99,75,Comfortable running shoes for sports and casual wear,2025-01-04 17:14:38
10,Laptop Stand,25.99,90,Adjustable laptop stand for ergonomic viewing height,2025-01-04 17:14:38
